unit_id,message_frame,proof_badge,baseline_familiarity_0_10,activation_score_0_10,friction_guardrail_0_10,assignment_batch
PX-0436,Momentum,Absent,7.29,5.97,1.99,Batch C
PX-0437,Momentum,Absent,5.13,4.39,2.26,Batch B
PX-0438,Momentum,Verified,2.78,,2.41,Batch C
PX-0439,Momentum,Absent,4.49,2.39,3.01,Batch C
PX-0440,Clarity,Verified,5.35,5.26,1.94,Batch A
PX-0441,Momentum,Absent,4.7,5.03,2.78,Batch B
PX-0442,Momentum,Absent,5.99,6.37,1.72,Batch C
PX-0443,Clarity,Absent,3.42,1.73,3.53,Batch B
PX-0444,Momentum,Absent,4.38,4.86,3.05,Batch B
PX-0445,Clarity,Absent,4.25,4.96,1.34,Batch B
PX-0446,Clarity,Absent,3.76,4.8,2.33,Batch A
PX-0447,Clarity,Absent,4.79,,3.43,Batch A
PX-0448,Momentum,Absent,3.84,3.13,2.44,Batch A
PX-0449,Momentum,Absent,1.9,2.74,3.07,Batch C
PX-0450,Momentum,Absent,6.19,5.79,4.36,Batch C
PX-0451,Clarity,Absent,5.25,2.64,1.87,Batch B
PX-0452,Momentum,Verified,4.82,5.87,2.74,Batch B
PX-0453,Clarity,Verified,4.63,5.56,1.99,Batch C
PX-0454,Momentum,Absent,5.04,5.9,2.41,Batch C
PX-0455,Momentum,Verified,5.61,7.11,1.82,Batch B
PX-0456,Momentum,Verified,2.91,5.19,2.47,Batch A
PX-0457,Clarity,Verified,4.69,3.63,2.44,Batch B
PX-0458,Momentum,Verified,4.37,5.21,3.84,Batch B
PX-0459,Clarity,Verified,6.98,4.54,3.01,Batch C
PX-0460,Momentum,Verified,3.19,4.71,3.61,Batch A
PX-0461,Clarity,Verified,6.55,6.5,1.92,Batch A
PX-0462,Momentum,Verified,0.93,4.64,1.55,Batch C
PX-0463,Clarity,Absent,4.12,1.57,4.46,Batch C
PX-0464,Clarity,Verified,4.06,5.77,2.65,Batch C
PX-0465,Clarity,Absent,5.15,6.47,1.92,Batch C
PX-0466,Momentum,Verified,3.85,4.64,2.63,Batch A
PX-0467,Clarity,Absent,7.07,5.46,3.08,Batch B
PX-0468,Momentum,Absent,4.03,3.12,4.92,Batch A
PX-0469,Momentum,Absent,4.84,5.22,2.76,Batch B
PX-0470,Momentum,Absent,5.23,5.87,2.1,Batch B
PX-0471,Clarity,Absent,3.4,3.16,2.3,Batch B
PX-0472,Momentum,Verified,3.63,4.41,2.6,Batch A
PX-0473,Clarity,Verified,2.52,2.98,2.62,Batch A
PX-0474,Momentum,Absent,4.67,2.21,1.36,Batch C
PX-0475,Clarity,Verified,6.71,7.36,2.05,Batch C
PX-0476,Momentum,Verified,3.94,5.06,2.19,Batch A
PX-0477,Clarity,Absent,3.81,4.25,2.22,Batch A
PX-0478,Momentum,Absent,2.93,2.25,2.73,Batch B
PX-0479,Clarity,Verified,7.02,6.44,2.34,Batch B
PX-0480,Momentum,Absent,6.58,7.88,2.8,Batch C
